"x","y","sampleID","abundance","occurrences"
117.5,195,1,18,1
10,52.5,2,17,1
12.5,15,3,3,1
82.5,157.5,4,6,1
180,190,5,2,1
35,112.5,6,5,1
182.5,105,7,38,1
185,190,8,9,1
175,172.5,9,29,1
182.5,32.5,10,50,1
197.5,137.5,11,15,1
117.5,175,12,12,1
95,27.5,13,2,1
132.5,105,14,8,1
82.5,80,15,6,1
20,55,16,44,1
17.5,162.5,17,7,1
175,195,18,6,1
45,2.5,19,17,1
15,185,20,6,1
17.5,25,21,17,1
82.5,117.5,22,2,1
167.5,57.5,23,22,1
182.5,117.5,24,7,1
47.5,55,25,48,1
20,22.5,26,28,1
10,42.5,27,12,1
157.5,35,28,41,1
160,152.5,29,3,1
110,92.5,30,23,1
67.5,97.5,31,10,1
45,42.5,32,30,1
62.5,40,33,14,1
157.5,97.5,34,2,1
112.5,145,35,3,1
105,62.5,36,20,1
197.5,70,37,9,1
130,65,38,4,1
120,65,39,19,1
77.5,67.5,40,19,1
125,75,41,4,1
45,22.5,42,4,1
27.5,132.5,43,15,1
87.5,27.5,44,8,1
85,95,45,48,1
147.5,22.5,46,19,1
10,57.5,47,44,1
40,80,48,11,1
15,120,49,13,1
72.5,140,50,3,1
112.5,40,51,14,1
17.5,70,52,55,1
30,25,53,5,1
137.5,45,54,11,1
147.5,50,55,24,1
147.5,110,56,7,1
92.5,90,57,46,1
100,165,58,2,0
62.5,125,59,2,1
115,90,60,55,1
5,197.5,61,5,1
80,157.5,62,3,0
37.5,35,63,7,1
45,132.5,64,19,1
70,142.5,65,7,1
170,100,66,24,1
102.5,127.5,67,3,1
67.5,5,68,28,1
190,32.5,69,21,1
45,112.5,70,24,1
177.5,157.5,71,27,1
185,157.5,72,44,1
167.5,92.5,73,19,1
130,185,74,10,1
167.5,122.5,75,7,1
80,95,76,66,1
90,180,77,35,1
122.5,190,78,12,1
125,10,79,42,1
5,57.5,80,52,1
77.5,145,81,8,1
177.5,167.5,82,34,1
127.5,92.5,83,10,1
155,190,84,32,1
97.5,122.5,85,22,1
40,157.5,86,37,1
52.5,187.5,87,24,1
120,87.5,88,19,1
100,127.5,89,6,1
140,10,90,49,1
25,125,91,22,1
150,17.5,92,22,1
62.5,82.5,93,11,1
140,50,94,15,1
155,187.5,95,34,1
10,65,96,60,1
170,172.5,97,37,1
165,107.5,98,25,1
17.5,160,99,5,1
102.5,147.5,100,11,1
102.5,167.5,101,1,1
20,80,102,55,1
167.5,25,103,18,1
35,15,104,4,1
62.5,42.5,105,11,1
185,180,106,29,1
112.5,112.5,107,33,1
85,112.5,108,21,1
12.5,90,109,65,1
112.5,80,110,39,1
97.5,85,111,34,1
155,35,112,36,1
180,30,113,52,1
107.5,187.5,114,0,0
57.5,2.5,115,14,1
157.5,50,116,9,1
152.5,175,117,52,1
142.5,175,118,8,1
25,127.5,119,32,1
197.5,135,120,9,1
7.5,90,121,42,1
57.5,177.5,122,45,1
72.5,122.5,123,7,1
30,92.5,124,18,1
57.5,10,125,3,1
77.5,25,126,5,1
147.5,130,127,13,1
35,162.5,128,13,1
45,195,129,64,1
135,107.5,130,27,1
105,162.5,131,4,1
197.5,72.5,132,15,1
142.5,157.5,133,21,1
80,142.5,134,10,1
167.5,152.5,135,17,1
120,192.5,136,17,1
45,20,137,12,1
167.5,2.5,138,11,1
185,55,139,19,1
47.5,67.5,140,29,1
100,167.5,141,0,0
162.5,95,142,14,1
85,32.5,143,0,0
82.5,110,144,35,1
95,80,145,26,1
187.5,87.5,146,15,1
57.5,192.5,147,25,1
92.5,135,148,13,1
187.5,32.5,149,30,1
147.5,90,150,0,0
45,62.5,151,24,1
100,45,152,3,1
42.5,135,153,18,1
137.5,32.5,154,35,1
102.5,100,155,30,1
167.5,110,156,38,1
25,112.5,157,55,1
195,130,158,4,1
45,135,159,13,1
72.5,87.5,160,29,1
42.5,77.5,161,7,1
192.5,180,162,32,1
40,160,163,36,1
47.5,175,164,19,1
22.5,12.5,165,13,1
100,192.5,166,7,1
42.5,122.5,167,11,1
80,77.5,168,24,1
167.5,70,169,14,1
135,77.5,170,2,1
10,110,171,55,1
182.5,95,172,19,1
157.5,122.5,173,4,1
10,47.5,174,6,1
185,25,175,20,1
37.5,72.5,176,4,1
157.5,115,177,4,1
5,177.5,178,18,1
97.5,127.5,179,10,1
85,82.5,180,15,1
65,40,181,18,1
90,60,182,35,1
140,7.5,183,43,1
122.5,150,184,12,1
92.5,132.5,185,6,1
185,170,186,41,1
12.5,157.5,187,1,0
35,110,188,1,0
197.5,145,189,7,1
47.5,35,190,27,1
190,112.5,191,23,1
152.5,127.5,192,15,1
122.5,120,193,41,1
55,80,194,3,1
52.5,47.5,195,15,1
65,107.5,196,22,1
105,27.5,197,4,1
122.5,85,198,3,1
152.5,102.5,199,5,1
147.5,85,200,3,1
97.5,97.5,201,29,1
57.5,165,202,61,1
165,97.5,203,4,1
180,185,204,22,1
10,50,205,10,1
120,75,206,8,1
82.5,75,207,24,1
27.5,195,208,16,1
92.5,35,209,6,1
60,40,210,18,1
130,162.5,211,22,1
102.5,142.5,212,2,1
100,95,213,45,1
25,160,214,7,1
35,22.5,215,4,1
5,60,216,52,1
40,35,217,17,1
